priority,enabled,rule_name,match_line,match_store_keywords,match_company_keywords,match_plan_keywords,match_case_keywords,match_appliance_type,match_repair_type,action_type,handover_request_content,basis_text,note_template,requires_manual_confirm
110,1,トレス,トレス,トレス,トレス,,,,,受付報告,【BKK】WRS（福岡）へ対応依頼,根拠：トレス案件に一致,,1
120,1,MED Communications,MED Communications;MEDコミュニケーションズ,MED Communications;MEDコミュニケーションズ,MED Communications;MEDコミュニケーションズ,,,,,受付報告,【BKK】WRS（福岡）へ対応依頼,根拠：MED Communications案件に一致,,1
130,1,キューハウ / Comfo home,キューハウ;Comfo home;Comfohome,キューハウ;Comfo home;Comfohome,キューハウ;Comfo home;Comfohome,,,,,受付報告,【BKK】WRS（福岡）へ対応依頼,根拠：キューハウ / Comfo home案件に一致,Comfo home及びメーカー／Boschの修理受付時,1
140,1,住宅資材センター,住宅資材センター,住宅資材センター,住宅資材センター,,,,,受付報告,【BKK】WRS（福岡）へ対応依頼,根拠：住宅資材センター案件に一致,,1
150,1,大成有楽,大成有楽,大成有楽,大成有楽,,,,,受付報告,【BKK】WRS（福岡）へ対応依頼,根拠：大成有楽案件に一致,,1
160,1,相鉄不動産,相鉄不動産,相鉄不動産,相鉄不動産,,,,,受付報告,【BKK】WRS（福岡）へ対応依頼,根拠：相鉄不動産案件に一致,,1
170,1,オンレイ,オンレイ,オンレイ,オンレイ,,,,,受付報告,【BKK】WRS（福岡）へ対応依頼,根拠：オンレイ案件に一致,,1
180,1,フュディアル,フュディアル,フュディアル,フュディアル,,,住設,,受付報告,【BKK】WRS（福岡）へ対応依頼,根拠：フュディアル住設/賃貸案件に一致,,1
190,1,株式会社ミツウロコヴェッセル,株式会社ミツウロコヴェッセル;ミツウロコヴェッセル,株式会社ミツウロコヴェッセル;ミツウロコヴェッセル,株式会社ミツウロコヴェッセル;ミツウロコヴェッセル,,,,,受付報告,【BKK】WRS（福岡）へ対応依頼,根拠：株式会社ミツウロコヴェッセル案件に一致,,1
200,1,クリーンリバー,クリーンリバー,クリーンリバー,クリーンリバー,,,,,受付報告,【BKK】WRS（福岡）へ対応依頼,根拠：クリーンリバー案件に一致,,1
210,1,ケィ・マックインダストリー,ケィ・マックインダストリー;ケィマックインダストリー;ケイマックインダストリー,ケィ・マックインダストリー;ケィマックインダストリー;ケイマックインダストリー,ケィ・マックインダストリー;ケィマックインダストリー;ケイマックインダストリー,,,,,受付報告,【BKK】WRS（福岡）へ対応依頼,根拠：ケィ・マックインダストリー案件に一致,,1
220,1,株式会社三建,株式会社三建;三建,株式会社三建;三建,株式会社三建;三建,,,,,受付報告,【BKK】WRS（福岡）へ対応依頼,根拠：株式会社三建案件に一致,,1
230,1,FUTAEDA,FUTAEDA;フタエダ,FUTAEDA;フタエダ,FUTAEDA;フタエダ,,,,,受付報告,【BKK】WRS（福岡）へ対応依頼,根拠：FUTAEDA案件に一致,,1
240,1,木場家電住宅設備,木場家電住宅設備;木場家電;木場(こば)家電住宅設備;こば家電住宅設備,木場家電住宅設備;木場家電;木場(こば)家電住宅設備;こば家電住宅設備,木場家電住宅設備;木場家電;木場(こば)家電住宅設備;こば家電住宅設備,,,,,受付報告,【BKK】WRS（福岡）へ対応依頼,根拠：木場家電住宅設備案件に一致,,1
250,1,ぽちる,ぽちる,ぽちる,ぽちる,,,,,受付報告,【BKK】WRS（福岡）へ対応依頼,根拠：ぽちる案件に一致,,1
260,1,SKY,SKY,SKY,SKY,,,,,受付報告,【BKK】WRS（福岡）へ対応依頼,根拠：SKY案件に一致,,1
270,1,電算システム案件,電算システム,電算システム,電算システム,,,住設,,受付報告,【BKK】WRS（福岡）へ対応依頼,根拠：電算システム住設案件に一致,,1
280,1,三城案件（メガネ）,三城;メガネ,三城;メガネ,三城;メガネ,,,,,受付報告,【BKK】WRS（福岡）へ対応依頼,根拠：三城案件（メガネ）に一致,,1
290,1,コジマ（CHIKYUJIN）,コジマ;CHIKYUJIN;地球人,コジマ;CHIKYUJIN;地球人,コジマ;CHIKYUJIN;地球人,,,,,受付報告,【BKK】WRS（福岡）へ対応依頼,根拠：コジマ（CHIKYUJIN）案件に一致,,1
300,1,チャオ,チャオ,チャオ,チャオ,,,,,受付報告,【BKK】WRS（福岡）へ対応依頼,根拠：チャオ案件に一致,,1
310,1,WM案件（M停止）,WM案件;M停止,WM案件;M停止,WM案件;M停止,,,,,受付報告,【BKK】WRS（福岡）へ対応依頼,根拠：WM案件（M停止）に一致,,1
320,1,Bosch,,,,,Bosch,,,受付報告,【BKK】WRS（福岡）へ対応依頼,根拠：Bosch案件に一致,,1
330,1,松﨑電機 / エアコンのマツ,松﨑電機;松崎電機;エアコンのマツ,松﨑電機;松崎電機;エアコンのマツ,松﨑電機;松崎電機;エアコンのマツ,,,,,受付報告,【BKK】WRS（福岡）へ対応依頼,根拠：松﨑電機 / エアコンのマツ案件に一致,,1
